Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,
Aruba,ABW,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.1382818945275,28.4600405646666,30.2314217155694,31.7057704502219,30.8709032009106,25.4959027636962,23.712540005819,26.9064748201439,29.2150359314538,28.7791426422662,33.5810162991371,35.1612903225806,32.5144199957274,33.2519332519333,30.2928683210373,28.9319934564151,28.5056967572305,26.647564469914,23.9991343864964,22.9179843980603,21.4819427148194,22.0135078092022,21.4729002896152,,,
Afghanistan,AFG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,16.115709744894,16.5991981789571,19.1057020506971,14.2011896117076,13.8888936728392,11.2582791310323,8.41269813681027,5.1792826071544,6.4724917522858,6.46687681860702,5.46379407704636,5.46117106687832,6.54596174882259,7.30769221351085,8.76288652354129,9.76525842685535,13.6521735928166,12.4153493064084,13.8720537510231,,,,,,,,,,,,,,,,,,,,,,,,12.5572857809519,12.7588962980393,19.0053396706726,23.1937584422833,26.4079729673325,20.0689206069945,19.021320461268,17.991435632502,17.9590715577026,16.6745915347705,16.9062545747092,17.3435142294074,18.1568547742439,19.454687306501,17.8087896337255,19.174225458679,,,
Angola,AGO,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,,,,,,,,,,30.4932189762628,30.4932189408191,30.4931731253335,30.4511106101187,30.8936687341035,27.5565797901657,23.3007709224417,25.730579355956,30.8040531755393,42.8208588143755,28.1973097641434,26.4243536899122,26.6675788564223,26.1429693456408,27.5004618720416,34.2024891287855,27.2147084386719,24.1303045822126,,,
Albania,ALB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,35.805834723522,36.3861156517659,39.2829001338862,37.373346292896,32.9255350791543,33.9319591391124,32.0348354243886,29.4538695223043,29.957542067619,32.8770715994479,30.360946807547,7.60311109567282,5.65668410228241,13.6761374504386,18.8965848987739,21.2785134595821,18.0637836927019,16.6594964497617,19.7425812412737,19.7347080990611,30.7962591863962,34.9886815804971,35.2640459672128,33.8968868065619,34.1967670412024,36.8696660470205,35.6975146295823,34.4619785970732,35.7784229500794,34.5578458934766,30.3086800895786,31.4135814808892,28.3285499594466,28.0524957168348,25.6746919132376,25.8190478049678,25.223826621636,25.0491593721576,,,
Andorra,AND,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.933039879409,24.016914708658,23.2945079015853,23.7426454203927,22.4291711364541,22.4809617441092,21.0303584928794,20.388824509239,23.2745427135936,20.491174621857,20.253973591813,22.6576321227863,21.7454680458736,22.3586678055601,21.9717293697063,22.3172561742806,23.4169281672191,26.6186966871606,27.6303087193973,29.4631174850703,27.4970838296397,24.7082742948366,24.0957186800577,24.9790985978196,26.0631935528906,29.7496812505127,28.1902911897323,28.2491543688199,,,
United Arab Emirates,ARE,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5024511612706,22.5457475824448,22.1297151941699,19.9784484743546,20.1668586314818,19.2705121714111,25.0936183286053,25.0981259739132,31.6334805138158,27.0818534095565,23.1902570310625,21.9121542447248,19.2856694144499,22.197928972301,25.6713737529947,26.0294772613571,24.8116201556291,22.4411467701726,,
Argentina,ARG,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,23.4792342590099,27.7664470644615,21.7309350217721,18.2728788276194,21.4739126232485,22.4276757468008,20.5425466290179,21.2150357873283,21.6904972921362,23.9906052021963,24.4400952475051,24.1130324177909,23.8915446190398,20.8938115320811,22.2603317856376,29.4410469590453,30.7294395903282,30.9416888037918,27.8001595709474,25.8567694613329,25.2577862895999,22.6910887215998,21.7549479464592,20.8877523061467,19.9640924492996,17.5890669180019,17.4617642050861,19.5548660012086,18.6400388971926,15.5146982752804,13.9969815756662,14.6369773950796,16.7024057741857,19.6881104233422,19.9656232520199,18.5004105114971,19.6238724452255,20.8260515469902,20.9707691548621,17.8629278753399,17.5334874363903,15.6259653308051,10.8539052402585,14.1469621012504,17.5512703642799,18.8882641376513,18.6804872364334,20.099113202908,19.5727758777106,16.0531123592112,17.7055338062046,18.39845891735,16.5019865298875,17.3057789012596,17.2628810064651,17.0707048841583,17.6632278606203,18.7572317129789,20.7740638033678,,
Armenia,ARM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.1476843569867,39.7791441837119,1.6312582610658,9.8722030338445,27.9421579326358,20.8085693442274,21.0954471662552,23.2656792922768,22.6863518699904,20.7688804703858,18.2323297796659,15.8442619158742,18.1586156982196,24.3916400818469,22.9188424364764,28.3715020267015,33.5503886055131,38.1609987846759,43.8094812113443,33.8220254254849,25.9688254679415,26.7203688692606,25.3279058835773,22.263532692302,20.8718657726733,20.7305301265762,18.0155086734171,19.2896988482312,22.39552020321,,
American Samoa,ASM,Gross capital formation (% of GDP),NE.GDI.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
